PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE
MB-1034,2499,4,2018-03-11
CB-1161,399,9,2018-03-11
HB-1175,899,2,2018-02-28
RC-1056,2499,2,2018-02-28
CC-1021,1144,3,2018-02-28
CB-1161,399,6,2018-02-28
HB-1175,899,6,2018-03-09
RC-1055,1999,3,2018-03-09
DB-1081,1499,3,2018-03-09
EB-1133,2250,10,2018-03-09
BX-1015,299,9,2018-03-09
CC-1021,1144,4,2018-03-09
RC-1056,2499,3,2018-02-23
BX-1013,449,2,2018-02-23
RC-1056,2499,5,2018-02-23
CB-1161,399,1,2018-02-23
EB-1131,1500,10,2018-02-23
MB-1034,2499,3,2018-02-23
DB-1082,1250,8,2018-02-23
EB-1134,4800,10,2018-02-23
BX-1014,799,3,2018-03-05
EB-1134,4800,2,2018-03-05
CB-1163,288,8,2018-03-05
BX-1013,449,6,2018-03-05
MB-1034,2499,10,2018-03-05
MB-1031,649,2,2018-03-05
RC-1051,2499,10,2018-03-05
HB-1174,379,9,2018-03-05
RC-1054,5499,10,2018-03-01
CC-1021,1144,3,2018-03-01
RC-1052,3999,9,2018-03-01
BX-1011,249,10,2018-03-01
HB-1175,899,2,2018-03-01
RO-1002,689,8,2018-03-01
EB-1137,7900,5,2018-03-14
CB-1163,288,8,2018-03-14
EB-1134,4800,7,2018-03-14
HB-1176,1199,3,2018-03-14
RC-1052,3999,6,2018-03-14
EB-1135,3000,9,2018-03-14
RC-1054,5499,8,2018-03-14
HB-1171,699,2,2018-03-08
EB-1137,7900,10,2018-02-25
CC-1022,1200,6,2018-02-25
CC-1023,1361,10,2018-02-25
RC-1052,3999,7,2018-02-25
BX-1014,799,9,2018-03-09
EB-1131,1500,3,2018-03-09
EB-1135,3000,7,2018-03-09
CC-1021,1144,1,2018-03-09
EB-1135,3000,6,2018-03-09
BX-1013,449,10,2018-03-09
DB-1081,1499,10,2018-03-09
CB-1161,399,8,2018-03-09
HB-1171,699,4,2018-03-09
HB-1175,899,2,2018-03-09
RO-1002,689,10,2018-03-23
CC-1021,1144,3,2018-03-23
MB-1032,1299,8,2018-03-22
RO-1001,525,3,2018-03-22
MB-1031,649,5,2018-03-22
BX-1016,319,1,2018-03-22
EB-1132,1900,1,2018-03-22
EB-1135,3000,9,2018-03-22
RC-1054,5499,10,2018-03-22
HB-1176,1199,9,2018-03-17
CB-1161,399,2,2018-03-17
BX-1013,449,9,2018-03-17
RO-1001,525,3,2018-03-21
BX-1015,299,7,2018-03-21
RC-1055,1999,8,2018-03-21
RO-1001,525,5,2018-03-21
CC-1023,1361,3,2018-03-21
EB-1133,2250,8,2018-03-21
CC-1022,1200,9,2018-03-21
RC-1051,2499,6,2018-03-21
CB-1161,399,3,2018-03-15
DB-1082,1250,4,2018-03-15
DB-1081,1499,10,2018-03-15
BX-1011,249,3,2018-03-15
CC-1022,1200,7,2018-03-15
CB-1162,400,6,2018-03-15
DB-1083,1199,2,2018-04-03
CB-1162,400,7,2018-04-03
MB-1033,3999,4,2018-04-03
RC-1052,3999,4,2018-03-07
BX-1012,399,1,2018-03-07
RC-1052,3999,4,2018-03-07
EB-1133,2250,2,2018-03-07
EB-1132,1900,2,2018-03-07
RC-1057,4999,1,2018-03-05
DB-1083,1199,4,2018-03-05
RC-1053,4599,1,2018-03-05
DB-1081,1499,7,2018-03-05
BX-1011,249,1,2018-03-05
EB-1132,1900,1,2018-03-05
RO-1001,525,8,2018-03-05
RC-1054,5499,8,2018-03-05
BX-1016,319,9,2018-03-28
DB-1082,1250,10,2018-04-01
RO-1001,525,5,2018-04-01
DB-1083,1199,10,2018-04-01
CB-1162,400,1,2018-04-01
CC-1023,1361,8,2018-03-22
EB-1136,5000,3,2018-03-22
MB-1033,3999,8,2018-03-22
HB-1174,379,1,2018-04-11
EB-1132,1900,3,2018-03-30
DB-1082,1250,1,2018-03-30
CB-1163,288,5,2018-03-23
HB-1176,1199,8,2018-03-23
RC-1053,4599,6,2018-03-23
DB-1083,1199,10,2018-03-23
EB-1132,1900,8,2018-03-23
RC-1051,2499,8,2018-03-23
HB-1172,799,2,2018-04-02
CC-1023,1361,10,2018-04-02
BX-1013,449,5,2018-04-02
CC-1021,1144,4,2018-04-02
RC-1056,2499,5,2018-04-02
EB-1135,3000,2,2018-04-02
CC-1023,1361,10,2018-04-02
CC-1022,1200,9,2018-04-02
CC-1023,1361,4,2018-04-02
MB-1034,2499,10,2018-04-02
RC-1056,2499,10,2018-03-25
HB-1173,649,8,2018-03-25
RO-1003,721,5,2018-03-25
BX-1013,449,4,2018-03-25
MB-1034,2499,8,2018-03-25
DB-1081,1499,2,2018-04-12
DB-1083,1199,6,2018-04-12
BX-1013,449,10,2018-04-12
HB-1175,899,2,2018-04-12
BX-1011,249,6,2018-04-12
RC-1056,2499,8,2018-04-12
EB-1136,5000,8,2018-04-12
HB-1175,899,6,2018-04-12
CC-1023,1361,1,2018-04-12
CB-1161,399,3,2018-04-12
HB-1171,699,7,2018-04-20
RC-1052,3999,8,2018-04-20
RC-1055,1999,2,2018-04-20
HB-1171,699,7,2018-04-20
CB-1163,288,7,2018-04-20
BX-1014,799,1,2018-04-20
CB-1161,399,8,2018-04-20
EB-1133,2250,4,2018-04-20
EB-1132,1900,4,2018-04-20
RC-1052,3999,9,2018-04-20
EB-1136,5000,7,2018-03-30
MB-1033,3999,5,2018-03-30
CC-1023,1361,8,2018-03-30
RO-1003,721,7,2018-03-30
HB-1172,799,1,2018-04-02
BX-1014,799,9,2018-04-02
RC-1054,5499,6,2018-04-02
BX-1013,449,2,2018-04-02
EB-1132,1900,10,2018-04-02
EB-1133,2250,7,2018-04-02
RO-1001,525,2,2018-04-02
HB-1172,799,9,2018-04-02
CC-1022,1200,9,2018-04-02
HB-1173,649,8,2018-03-25
EB-1134,4800,9,2018-03-25
BX-1013,449,4,2018-03-25
RO-1003,721,9,2018-03-25
HB-1173,649,8,2018-03-25
HB-1174,379,7,2018-03-25
DB-1082,1250,2,2018-03-25
EB-1133,2250,4,2018-03-25
CC-1021,1144,2,2018-04-08
CB-1163,288,2,2018-04-08
RC-1053,4599,8,2018-04-08
BX-1012,399,5,2018-04-08
RO-1003,721,5,2018-04-08
DB-1083,1199,3,2018-04-08
HB-1171,699,1,2018-04-08
HB-1174,379,5,2018-04-19
RO-1002,689,8,2018-04-19
EB-1134,4800,3,2018-04-19
CB-1163,288,3,2018-04-19
RC-1056,2499,8,2018-04-19
BX-1012,399,8,2018-04-19
EB-1132,1900,6,2018-04-19
MB-1033,3999,5,2018-04-01
EB-1131,1500,4,2018-04-01
HB-1176,1199,6,2018-04-01
RC-1052,3999,10,2018-04-01
BX-1015,299,1,2018-05-04
DB-1082,1250,1,2018-05-04
RC-1052,3999,4,2018-05-04
HB-1175,899,8,2018-05-04
CC-1022,1200,5,2018-05-04
EB-1137,7900,1,2018-04-30
EB-1132,1900,1,2018-04-30
EB-1134,4800,7,2018-04-30
RC-1056,2499,3,2018-04-30
HB-1172,799,7,2018-04-14
EB-1137,7900,5,2018-04-14
CB-1163,288,5,2018-04-14
RC-1057,4999,6,2018-04-14
CB-1162,400,1,2018-04-14
EB-1136,5000,3,2018-04-14
HB-1171,699,6,2018-04-14
BX-1016,319,2,2018-04-14
BX-1015,299,7,2018-05-07
DB-1081,1499,2,2018-05-07
BX-1016,319,3,2018-05-07
EB-1132,1900,7,2018-05-01
EB-1136,5000,6,2018-05-01
BX-1013,449,7,2018-05-01
RC-1054,5499,2,2018-04-24
EB-1133,2250,1,2018-04-24
EB-1135,3000,9,2018-05-05
CB-1163,288,5,2018-05-05
EB-1134,4800,3,2018-05-05
CB-1161,399,2,2018-05-05
BX-1014,799,4,2018-05-01
BX-1016,319,10,2018-05-01
CB-1161,399,7,2018-05-01
DB-1082,1250,3,2018-05-01
BX-1015,299,9,2018-05-01
EB-1136,5000,1,2018-05-01
BX-1015,299,4,2018-05-01
HB-1174,379,4,2018-05-01
RO-1003,721,8,2018-05-01
BX-1013,449,5,2018-04-21
DB-1081,1499,6,2018-04-21
DB-1081,1499,4,2018-04-21
EB-1132,1900,4,2018-04-21
CB-1161,399,2,2018-04-21
HB-1173,649,9,2018-04-21
EB-1135,3000,8,2018-04-25
HB-1176,1199,1,2018-04-25
EB-1131,1500,4,2018-04-25
CB-1161,399,9,2018-04-25
RO-1002,689,1,2018-04-25
BX-1016,319,1,2018-04-29
BX-1011,249,2,2018-04-29
BX-1013,449,1,2018-04-29
EB-1135,3000,3,2018-05-07
BX-1014,799,3,2018-05-08
CB-1163,288,6,2018-05-08
RC-1054,5499,9,2018-05-08
BX-1012,399,10,2018-05-08
EB-1135,3000,4,2018-05-08
RC-1055,1999,10,2018-05-08
HB-1174,379,6,2018-05-08
CB-1161,399,7,2018-05-08
BX-1013,449,2,2018-05-08
CC-1021,1144,2,2018-05-03
DB-1081,1499,10,2018-05-05
RO-1003,721,7,2018-05-05
CB-1163,288,6,2018-05-05
RC-1055,1999,8,2018-05-05
DB-1083,1199,5,2018-05-05
BX-1011,249,1,2018-05-05
MB-1032,1299,8,2018-05-05
CC-1021,1144,5,2018-05-05
CB-1161,399,8,2018-05-18
BX-1011,249,1,2018-05-18
HB-1172,799,9,2018-05-18
BX-1011,249,3,2018-05-18
DB-1081,1499,8,2018-05-18
RC-1057,4999,5,2018-05-18
DB-1081,1499,10,2018-05-18
BX-1015,299,6,2018-05-18
BX-1011,249,2,2018-05-18
RC-1057,4999,2,2018-05-18
DB-1083,1199,4,2018-05-12
CB-1161,399,8,2018-05-12
EB-1134,4800,8,2018-05-12
EB-1136,5000,2,2018-05-12
BX-1011,249,8,2018-05-11
DB-1083,1199,5,2018-05-11
RC-1055,1999,7,2018-05-11
HB-1173,649,1,2018-05-31
RC-1051,2499,6,2018-05-31
CB-1161,399,10,2018-05-27
MB-1032,1299,6,2018-05-27
RC-1055,1999,6,2018-05-27
CC-1021,1144,3,2018-06-01
DB-1081,1499,5,2018-06-01
RC-1052,3999,5,2018-06-01
HB-1172,799,4,2018-06-01
CC-1022,1200,3,2018-06-01
BX-1011,249,3,2018-05-18
RC-1052,3999,3,2018-05-18
RC-1052,3999,1,2018-05-18
RC-1051,2499,2,2018-05-18
RC-1053,4599,10,2018-05-18
RO-1003,721,4,2018-05-18
EB-1135,3000,4,2018-06-08
EB-1134,4800,8,2018-06-08
EB-1134,4800,4,2018-06-08
CB-1161,399,1,2018-06-08
EB-1134,4800,5,2018-06-08
CB-1163,288,7,2018-06-08
RO-1002,689,3,2018-06-08
RO-1002,689,2,2018-05-28
HB-1171,699,4,2018-05-28
HB-1175,899,2,2018-05-28
CB-1163,288,5,2018-05-28
HB-1174,379,9,2018-05-28
EB-1131,1500,7,2018-05-28
HB-1176,1199,2,2018-05-28
CC-1021,1144,5,2018-05-28
MB-1033,3999,3,2018-05-30
CB-1163,288,6,2018-05-30
CB-1163,288,8,2018-05-30
EB-1133,2250,9,2018-05-30
HB-1176,1199,1,2018-05-30
MB-1033,3999,4,2018-05-30
EB-1133,2250,5,2018-05-30
RC-1055,1999,9,2018-05-30
RO-1001,525,2,2018-06-04
RC-1052,3999,5,2018-06-04
MB-1031,649,8,2018-06-04
HB-1174,379,8,2018-06-04
BX-1011,249,6,2018-06-04
EB-1136,5000,4,2018-06-04
EB-1134,4800,2,2018-05-27
EB-1131,1500,7,2018-05-27
RC-1055,1999,5,2018-05-27
CB-1163,288,1,2018-05-27
MB-1031,649,2,2018-05-27
BX-1013,449,10,2018-05-27
CB-1163,288,7,2018-05-27
MB-1032,1299,4,2018-05-27
MB-1033,3999,3,2018-05-27
EB-1134,4800,5,2018-05-29
BX-1015,299,3,2018-05-29
CC-1023,1361,4,2018-05-29
HB-1172,799,8,2018-05-29
HB-1173,649,5,2018-05-29
HB-1173,649,7,2018-05-29
HB-1175,899,6,2018-05-29
CB-1162,400,3,2018-05-29
CB-1161,399,3,2018-05-29
BX-1014,799,2,2018-06-20
MB-1032,1299,5,2018-06-12
MB-1033,3999,7,2018-06-12
EB-1136,5000,6,2018-06-12
HB-1174,379,10,2018-06-12
RC-1054,5499,8,2018-06-12
CC-1023,1361,4,2018-06-12
EB-1137,7900,5,2018-06-12
CB-1163,288,7,2018-06-22
BX-1012,399,8,2018-06-22
EB-1134,4800,6,2018-06-22
HB-1173,649,5,2018-06-22
RC-1056,2499,1,2018-06-22
EB-1136,5000,7,2018-06-22
RC-1055,1999,6,2018-06-22
CC-1023,1361,7,2018-06-21
EB-1131,1500,8,2018-06-21
BX-1013,449,7,2018-06-21
BX-1013,449,4,2018-06-21
RC-1057,4999,7,2018-06-21
BX-1016,319,8,2018-06-21
HB-1176,1199,3,2018-06-21
CC-1023,1361,9,2018-06-21
MB-1031,649,5,2018-06-06
EB-1135,3000,8,2018-06-17
BX-1014,799,2,2018-06-17
HB-1172,799,1,2018-06-17
RO-1002,689,6,2018-06-17
CC-1021,1144,10,2018-07-06
EB-1137,7900,5,2018-07-06
CC-1023,1361,6,2018-07-06
BX-1012,399,5,2018-07-06
HB-1176,1199,10,2018-06-18
EB-1132,1900,9,2018-06-18
HB-1174,379,10,2018-06-18
BX-1015,299,4,2018-06-18
BX-1015,299,10,2018-06-18
HB-1176,1199,10,2018-06-18
EB-1133,2250,5,2018-06-18
RC-1053,4599,9,2018-06-17
HB-1173,649,3,2018-06-17
RO-1003,721,4,2018-06-17
BX-1012,399,4,2018-06-17
HB-1174,379,10,2018-06-17
CC-1022,1200,7,2018-06-22
HB-1175,899,6,2018-06-22
BX-1011,249,6,2018-06-22
CB-1161,399,5,2018-06-22
HB-1176,1199,3,2018-06-22
CB-1161,399,6,2018-07-09
EB-1133,2250,3,2018-07-09
BX-1013,449,2,2018-07-09
EB-1137,7900,7,2018-07-09
RC-1057,4999,8,2018-07-09
CB-1163,288,4,2018-07-09
BX-1015,299,10,2018-07-09
BX-1012,399,7,2018-07-09
CC-1023,1361,8,2018-07-09
EB-1133,2250,2,2018-07-09
HB-1175,899,9,2018-06-21
EB-1132,1900,10,2018-07-16
RC-1051,2499,2,2018-07-16
BX-1013,449,1,2018-07-16
MB-1033,3999,3,2018-07-16
HB-1173,649,2,2018-07-16
HB-1173,649,3,2018-07-16
RC-1052,3999,7,2018-07-16
MB-1033,3999,9,2018-07-16
CC-1023,1361,8,2018-07-16
CC-1021,1144,1,2018-07-16
EB-1137,7900,6,2018-06-27
BX-1013,449,1,2018-06-27
EB-1137,7900,2,2018-06-27
BX-1014,799,8,2018-06-27
HB-1175,899,6,2018-06-27
MB-1032,1299,10,2018-06-27
MB-1032,1299,7,2018-06-27
EB-1131,1500,10,2018-07-01
EB-1131,1500,3,2018-07-01
EB-1134,4800,4,2018-07-01
EB-1131,1500,10,2018-07-01
RC-1053,4599,3,2018-07-01
RC-1053,4599,6,2018-07-01
DB-1081,1499,5,2018-07-01
HB-1176,1199,3,2018-07-08
EB-1135,3000,6,2018-07-08
BX-1012,399,10,2018-07-08
RC-1051,2499,1,2018-07-08
DB-1082,1250,8,2018-07-18
RO-1003,721,6,2018-07-18
CB-1163,288,5,2018-07-18
RO-1002,689,5,2018-07-18
RC-1056,2499,9,2018-07-18
CC-1022,1200,4,2018-07-18
EB-1137,7900,1,2018-07-18
EB-1137,7900,1,2018-07-18
RC-1054,5499,6,2018-07-13
CC-1022,1200,5,2018-07-13
RC-1055,1999,8,2018-07-13
HB-1173,649,4,2018-07-13
HB-1172,799,2,2018-07-13
CC-1022,1200,6,2018-07-03
EB-1131,1500,6,2018-07-03
RC-1055,1999,5,2018-07-03
RC-1053,4599,9,2018-07-03
MB-1034,2499,1,2018-07-03
HB-1171,699,8,2018-07-03
CB-1162,400,9,2018-07-03
EB-1133,2250,2,2018-07-03
MB-1033,3999,5,2018-07-03
HB-1172,799,5,2018-07-08
EB-1132,1900,9,2018-07-08
BX-1016,319,3,2018-07-08
CB-1161,399,7,2018-07-08
RC-1052,3999,1,2018-07-12
DB-1083,1199,6,2018-07-12
BX-1013,449,4,2018-07-12
RO-1002,689,8,2018-07-09
CC-1023,1361,10,2018-07-09
RC-1056,2499,4,2018-07-09
HB-1173,649,1,2018-07-20
BX-1013,449,1,2018-07-20
BX-1013,449,10,2018-07-20
MB-1033,3999,7,2018-07-20
RO-1001,525,8,2018-07-20
RC-1057,4999,2,2018-07-20
DB-1083,1199,2,2018-07-20
EB-1133,2250,2,2018-07-20
CC-1023,1361,8,2018-07-20
RC-1054,5499,4,2018-07-20
CC-1022,1200,8,2018-07-29
HB-1174,379,1,2018-07-29
EB-1134,4800,7,2018-07-29
BX-1014,799,6,2018-07-29
RC-1052,3999,4,2018-07-15
RO-1001,525,10,2018-07-15
BX-1013,449,1,2018-07-15
EB-1134,4800,5,2018-08-01
MB-1033,3999,10,2018-08-01
BX-1011,249,3,2018-08-01
CC-1023,1361,1,2018-08-01
RO-1002,689,2,2018-08-01
BX-1014,799,1,2018-08-01
BX-1015,299,6,2018-08-01
BX-1015,299,1,2018-08-01
HB-1176,1199,8,2018-07-30
EB-1136,5000,4,2018-07-30
CB-1163,288,2,2018-07-30
CB-1162,400,7,2018-07-30
EB-1132,1900,10,2018-07-30
DB-1081,1499,10,2018-07-30
BX-1015,299,8,2018-07-30
RC-1053,4599,1,2018-07-30
RC-1055,1999,6,2018-08-08
EB-1133,2250,2,2018-08-08
RC-1056,2499,10,2018-08-08
DB-1082,1250,6,2018-08-06
RC-1053,4599,9,2018-08-06
RO-1003,721,9,2018-08-06
HB-1176,1199,7,2018-08-06
RC-1056,2499,9,2018-08-06
EB-1132,1900,3,2018-07-21
MB-1034,2499,9,2018-07-21
HB-1175,899,9,2018-07-19
HB-1173,649,2,2018-07-19
HB-1172,799,8,2018-07-19
MB-1031,649,5,2018-07-19
MB-1032,1299,1,2018-07-19
DB-1081,1499,3,2018-07-19
RC-1051,2499,4,2018-07-19
BX-1012,399,8,2018-07-19
BX-1013,449,10,2018-07-19
HB-1174,379,10,2018-08-11
RC-1056,2499,8,2018-08-11
HB-1176,1199,6,2018-08-11
DB-1083,1199,7,2018-08-11
MB-1032,1299,3,2018-08-11
BX-1013,449,3,2018-08-07
RC-1056,2499,10,2018-08-07
BX-1016,319,5,2018-08-03
MB-1033,3999,2,2018-08-03
RC-1057,4999,7,2018-08-08
MB-1033,3999,2,2018-08-08
RC-1057,4999,8,2018-08-08
BX-1011,249,7,2018-08-08
BX-1011,249,5,2018-08-08
CB-1162,400,4,2018-08-08
RO-1001,525,10,2018-08-08
BX-1013,449,9,2018-08-08
BX-1013,449,1,2018-08-08
RC-1056,2499,5,2018-08-22
EB-1132,1900,8,2018-08-22
MB-1033,3999,5,2018-08-22
MB-1031,649,9,2018-08-22
BX-1015,299,10,2018-08-22
HB-1171,699,4,2018-08-22
EB-1133,2250,10,2018-08-29
MB-1033,3999,1,2018-08-29
BX-1013,449,9,2018-08-29
BX-1015,299,9,2018-08-29
CB-1163,288,3,2018-08-29
RC-1051,2499,8,2018-08-29
EB-1136,5000,8,2018-08-29
EB-1132,1900,5,2018-08-29
CC-1023,1361,2,2018-08-29
HB-1173,649,5,2018-08-29
CC-1023,1361,7,2018-08-06
EB-1135,3000,7,2018-08-06
CB-1162,400,4,2018-08-06
CC-1021,1144,8,2018-08-06
CB-1161,399,9,2018-08-08
HB-1171,699,3,2018-08-08
CB-1163,288,4,2018-08-08
CC-1022,1200,6,2018-08-08
CC-1023,1361,1,2018-08-08
RO-1002,689,5,2018-08-08
DB-1083,1199,8,2018-08-08
RC-1054,5499,2,2018-08-08
EB-1134,4800,2,2018-08-08
BX-1014,799,6,2018-08-08
RO-1003,721,3,2018-07-31
RC-1056,2499,6,2018-07-31
CC-1021,1144,4,2018-07-31
RO-1001,525,9,2018-07-31
HB-1176,1199,5,2018-07-31
CB-1162,400,6,2018-07-31
DB-1083,1199,9,2018-07-31
BX-1016,319,3,2018-07-31
BX-1014,799,9,2018-08-28
CC-1021,1144,4,2018-08-09
RO-1001,525,8,2018-08-09
RC-1057,4999,7,2018-08-09
CC-1022,1200,6,2018-08-09
BX-1011,249,8,2018-08-09
RC-1053,4599,6,2018-08-09
BX-1011,249,1,2018-08-09
HB-1173,649,6,2018-08-09
MB-1033,3999,3,2018-08-09
RO-1001,525,1,2018-09-02
MB-1034,2499,5,2018-09-02
BX-1013,449,10,2018-09-02
RC-1052,3999,10,2018-08-20
HB-1172,799,9,2018-08-20
MB-1033,3999,2,2018-08-20
RO-1003,721,7,2018-08-10
DB-1081,1499,3,2018-08-10
DB-1081,1499,3,2018-08-10
EB-1135,3000,6,2018-08-10
HB-1174,379,7,2018-08-10
CC-1022,1200,8,2018-08-10
RC-1051,2499,8,2018-08-22
DB-1082,1250,1,2018-08-22
RO-1002,689,5,2018-08-22
EB-1135,3000,10,2018-08-22
RC-1057,4999,3,2018-08-22
BX-1013,449,8,2018-08-22
BX-1016,319,2,2018-08-22
BX-1015,299,3,2018-08-22
RC-1055,1999,6,2018-08-22
MB-1032,1299,7,2018-08-23
BX-1014,799,7,2018-08-23
BX-1013,449,8,2018-08-23
BX-1012,399,4,2018-08-23
BX-1015,299,1,2018-08-23
MB-1034,2499,4,2018-08-23
HB-1172,799,2,2018-08-23
RC-1055,1999,4,2018-08-23
CC-1023,1361,10,2018-08-23
EB-1133,2250,1,2018-08-23
RC-1054,5499,6,2018-09-11
RC-1054,5499,4,2018-09-11
EB-1134,4800,7,2018-08-29
RC-1056,2499,3,2018-08-29
MB-1033,3999,6,2018-08-29
CB-1163,288,10,2018-08-24
BX-1011,249,8,2018-08-24
EB-1134,4800,2,2018-08-24
RC-1055,1999,8,2018-08-24
RC-1057,4999,10,2018-09-03
BX-1013,449,7,2018-09-03
RC-1052,3999,7,2018-09-03
CB-1161,399,3,2018-09-03
RC-1057,4999,2,2018-09-03
EB-1135,3000,5,2018-09-03
DB-1082,1250,5,2018-09-02
RO-1003,721,10,2018-09-02
BX-1013,449,3,2018-09-02
RC-1054,5499,10,2018-08-29
CC-1021,1144,3,2018-08-29
EB-1134,4800,3,2018-08-29
BX-1016,319,9,2018-08-29
HB-1173,649,4,2018-09-13
BX-1013,449,4,2018-09-13
MB-1034,2499,5,2018-09-09
MB-1031,649,3,2018-09-17
